Wall time,Step,Value
1585704199.347861,0,2342.221923828125
1585704381.854627,1,2250.681884765625
1585704564.112425,2,2221.06884765625
1585704746.439138,3,2210.0859375
1585704928.386888,4,2203.970703125
1585705111.046907,5,2201.45849609375
1585705293.128392,6,2200.67626953125
1585705474.991565,7,2198.99267578125
1585705656.904856,8,2196.45703125
1585705838.614293,9,2192.329345703125
1585706020.550757,10,2189.329345703125
1585706202.535853,11,2188.3359375
1585706384.743597,12,2188.05908203125
1585706566.536783,13,2188.1845703125
1585706748.454122,14,2187.2734375
1585706930.400997,15,2186.362548828125
1585707112.189706,16,2184.92578125
1585707294.726169,17,2183.95361328125
1585707477.261984,18,2183.787109375
1585707659.285341,19,2183.6171875
1585707841.388939,20,2183.328369140625
1585708023.302454,21,2182.648193359375
1585708205.173296,22,2182.257080078125
1585708387.017852,23,2182.1181640625
1585708568.921551,24,2181.455810546875
1585708750.843154,25,2181.09375
1585708932.69646,26,2180.71875
1585709114.92607,27,2180.535888671875
1585709297.404793,28,2180.504150390625
1585709479.400846,29,2179.9609375
1585709661.348337,30,2179.636474609375
1585709843.086483,31,2179.470947265625
1585710024.776934,32,2179.35693359375
1585710207.01248,33,2179.441162109375
1585710388.980324,34,2179.6171875
1585710570.882278,35,2179.7001953125
1585710752.740982,36,2179.376708984375
1585710934.713554,37,2179.305908203125
1585711116.503608,38,2179.01025390625
1585711298.15396,39,2178.739013671875
1585711479.973468,40,2178.48974609375
1585711661.416085,41,2178.115234375
1585711843.133061,42,2178.11865234375
1585712024.914539,43,2178.25048828125
1585712207.157573,44,2177.849365234375
1585712389.012244,45,2177.63916015625
1585712570.95443,46,2177.70361328125
1585712752.974147,47,2177.6533203125
1585712934.8588,48,2177.62744140625
1585713116.837563,49,2177.817626953125
1585713314.800949,50,2177.603515625
1585713497.3123,51,2177.610107421875
1585713679.827378,52,2177.645263671875
1585713862.34794,53,2177.398193359375
1585714048.101754,54,2177.106689453125
1585714234.964578,55,2176.906982421875
1585714421.283511,56,2176.772705078125
1585714607.403858,57,2176.855712890625
1585714791.355262,58,2176.90966796875
1585714977.235372,59,2176.853515625
1585715161.610145,60,2176.940185546875
1585715347.261756,61,2177.09326171875
1585715531.564101,62,2177.12890625
1585715716.957231,63,2177.14892578125
1585715901.734595,64,2177.23583984375
1585716087.151857,65,2177.182373046875
1585716272.437994,66,2177.13037109375
1585716458.828459,67,2176.871337890625
1585716644.974591,68,2176.744384765625
1585716830.382913,69,2176.859619140625
1585717014.810714,70,2176.5
1585717199.217054,71,2175.362548828125
1585717383.736025,72,2174.85986328125
1585717569.111371,73,2174.525390625
1585717755.792778,74,2174.28076171875
1585717941.334046,75,2174.093017578125
1585718127.085265,76,2173.9453125
1585718311.843643,77,2173.82763671875
1585718496.632528,78,2173.733154296875
1585718680.953302,79,2173.657470703125
1585718867.006107,80,2173.596923828125
1585719051.265894,81,2173.548828125
1585719236.962095,82,2173.510986328125
1585719421.921195,83,2173.482177734375
1585719608.295974,84,2173.46142578125
1585719793.096168,85,2173.451904296875
1585719978.423161,86,2173.480712890625
1585720164.008107,87,2173.536865234375
1585720349.748919,88,2173.501708984375
1585720534.242294,89,2173.457275390625
1585720719.398531,90,2173.442138671875
1585720904.964928,91,2173.44189453125
1585721090.068732,92,2173.454345703125
1585721275.760254,93,2173.480224609375
1585721461.410598,94,2173.489501953125
1585721647.126187,95,2173.557861328125
1585721831.606711,96,2173.54150390625
1585722018.04047,97,2173.526123046875
1585722203.670563,98,2173.51318359375
1585722388.796369,99,2173.502197265625
1585722574.486003,100,2173.492431640625
1585722759.388423,101,2173.48388671875
1585722943.839929,102,2173.476318359375
1585723129.902143,103,2173.4697265625
1585723317.058191,104,2173.463623046875
1585723503.335844,105,2173.4580078125
1585723688.419184,106,2173.453125
1585723873.230228,107,2173.44873046875
1585724058.190198,108,2173.44482421875
1585724242.827543,109,2173.441162109375
1585724428.100053,110,2173.45263671875
1585724612.889539,111,2173.44970703125
1585724798.352876,112,2173.44873046875
1585724983.123538,113,2173.447998046875
1585725167.608985,114,2173.447265625
1585725352.260101,115,2173.446533203125
1585725537.546736,116,2173.44580078125
1585725722.405026,117,2173.4453125
1585725906.899615,118,2173.444580078125
1585726091.418158,119,2173.444091796875
1585726275.779423,120,2173.443603515625
1585726460.361899,121,2173.443115234375
1585726644.920467,122,2173.4423828125
1585726829.700125,123,2173.44189453125
1585727014.342057,124,2173.44140625
1585727199.326804,125,2173.44091796875
1585727384.04814,126,2173.4404296875
1585727569.258099,127,2173.43994140625
1585727754.570586,128,2173.439453125
1585727939.054531,129,2173.43896484375
1585728123.598644,130,2173.4384765625
1585728308.629741,131,2173.438232421875
1585728493.330325,132,2173.437744140625
1585728678.319423,133,2173.437255859375
1585728863.071276,134,2173.436767578125
1585729047.742439,135,2173.4365234375
1585729232.309206,136,2173.43603515625
1585729417.145568,137,2173.435546875
1585729602.273088,138,2173.435302734375
1585729787.131678,139,2173.434814453125
1585729971.995199,140,2173.434326171875
1585730156.674512,141,2173.43408203125
1585730341.362074,142,2173.43359375
1585730526.14729,143,2173.433349609375
1585730711.053168,144,2173.432861328125
1585730896.181295,145,2173.4326171875
1585731080.992509,146,2173.432373046875
1585731266.037843,147,2173.431884765625
1585731450.929473,148,2173.431640625
1585731635.706798,149,2173.43115234375
1585731821.025915,150,2173.430908203125
1585732006.117809,151,2173.4306640625
1585732190.691681,152,2173.43017578125
1585732375.014742,153,2173.429931640625
1585732559.536412,154,2173.4296875
1585732744.397827,155,2173.429443359375
1585732929.283717,156,2173.428955078125
1585733114.165193,157,2173.4287109375
1585733299.112979,158,2173.428466796875
1585733483.743659,159,2173.42822265625
1585733668.797459,160,2173.427978515625
1585733853.924821,161,2173.427734375
1585734038.805789,162,2173.42724609375
1585734223.261522,163,2173.427001953125
1585734407.83483,164,2173.4267578125
1585734592.742708,165,2173.426513671875
1585734777.210674,166,2173.42626953125
1585734962.059063,167,2173.426025390625
1585735146.529315,168,2173.42578125
1585735331.737454,169,2173.425537109375
1585735516.615818,170,2173.42529296875
1585735701.349666,171,2173.425048828125
1585735886.15322,172,2173.4248046875
1585736070.861947,173,2173.424560546875
1585736255.802193,174,2173.42431640625
1585736440.572909,175,2173.424072265625
1585736624.956258,176,2173.424072265625
1585736809.364676,177,2173.423828125
1585736994.324374,178,2173.423583984375
1585737178.99662,179,2173.42333984375
1585737363.880469,180,2173.423095703125
1585737548.29334,181,2173.4228515625
1585737732.746115,182,2173.422607421875
1585737917.685133,183,2173.422607421875
1585738102.142601,184,2173.42236328125
1585738287.151112,185,2173.422119140625
