92.1594,92.1326,92.1412,92.1349,
-262.215,-271.967,-281.719,-301.224,
1.56512,1.57042,1.57239,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3205,92.1349,
-261.682,-278.098,-301.224,
1.57095,1.55954,1.56635,
92.5345,92.1349,
-262.083,-301.224,
1.55012,1.56635,
92.4098,92.2867,92.1948,92.1349,
-261.682,-285.896,-293.967,-301.224,
1.57095,1.56086,1.55801,1.56635,
92.4098,92.2455,92.1757,92.1349,
-261.682,-284.175,-292.7,-301.224,
1.57095,1.55952,1.565,1.56635,
92.4834,92.3588,92.2613,92.1349,
-262.127,-271.901,-281.675,-301.224,
1.55655,1.55949,1.5621,1.56635,
92.2156,92.1896,92.1349,
-261.945,-271.765,-301.224,
1.56689,1.56914,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.5021,92.1349,
-260.956,-301.224,
1.55437,1.56635,
92.3883,92.2664,92.2027,92.1349,
-262.593,-272.25,-281.908,-301.224,
1.55415,1.56169,1.56623,1.56635,
92.4098,92.3445,92.2819,92.1957,92.1349,
-261.682,-275.214,-281.98,-291.602,-301.224,
1.57095,1.56234,1.56108,1.56288,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.2915,92.2015,92.1349,
-261.682,-285.513,-293.456,-301.224,
1.57095,1.56097,1.55798,1.56635,
92.4098,92.2447,92.1771,92.1349,
-261.682,-285.197,-293.21,-301.224,
1.57095,1.56002,1.56433,1.56635,
92.4801,92.1349,
-262.114,-301.224,
1.55107,1.56635,
92.4098,92.3508,92.2842,92.2007,92.1349,
-261.682,-277.387,-285.24,-293.093,-301.224,
1.57095,1.56364,1.56111,1.55933,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.3243,92.2532,92.1349,
-261.322,-271.298,-301.224,
1.56192,1.56518,1.56635,
92.2561,92.1349,
-261.547,-301.224,
1.56858,1.56635,
92.382,92.1349,
-261.057,-301.224,
1.55969,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4879,92.1349,
-260.815,-301.224,
1.5575,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.57,92.3828,92.1349,
-261.952,-271.769,-301.224,
1.54772,1.5554,1.56635,
92.49,92.2837,92.1958,92.1349,
-262.492,-281.858,-291.541,-301.224,
1.5604,1.56076,1.5629,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
92.4098,92.3759,92.2951,92.2029,92.1349,
-261.682,-271.567,-281.453,-291.338,-301.224,
1.57095,1.5644,1.56144,1.5621,1.56635,
