89.8358,88.7675,89.0933,90.1988,92.2942,
-94.7142,-102.888,-111.134,-119.316,-135.689,
1.33124,1.53799,1.67012,1.72763,1.61878,
90.4735,88.6773,88.7564,89.9211,91.3663,92.2942,
-94.4547,-102.579,-110.915,-119.178,-127.398,-135.689,
1.20746,1.48283,1.66165,1.74391,1.72962,1.61878,
90.9858,89.0118,90.0488,92.2942,
-94.1018,-110.673,-119.021,-135.689,
1.19784,1.64456,1.72875,1.61878,
89.3355,89.5439,90.1445,90.9365,92.2942,
-93.7781,-102.181,-110.565,-118.934,-135.689,
1.56428,1.62293,1.65771,1.66861,1.61878,
89.2782,89.7099,90.3517,91.0791,91.768,92.2942,
-93.7509,-102.15,-110.535,-118.914,-127.296,-135.689,
1.60471,1.63713,1.65475,1.65757,1.64557,1.61878,
89.5689,89.3855,89.8861,90.7503,91.6591,92.2942,
-95.0044,-103.165,-111.314,-119.434,-127.549,-135.689,
1.49335,1.59676,1.66101,1.6861,1.67202,1.61878,
89.9315,89.18,89.5237,90.4789,92.2942,
-94.8272,-103,-111.204,-119.364,-135.689,
1.39268,1.5557,1.65981,1.70503,1.61878,
89.4389,89.4933,90.3602,92.2942,
-96.1505,-106.066,-115.947,-135.689,
1.51647,1.6267,1.68049,1.61878,
88.8435,89.5636,90.5734,92.2942,
-96.7882,-106.526,-116.238,-135.689,
1.6197,1.6645,1.67928,1.61878,
89.169,89.4696,90.1232,90.9388,92.2942,
-94.6284,-102.86,-111.072,-119.27,-135.689,
1.5781,1.63262,1.66395,1.67209,1.61878,
88.5594,89.0969,89.9253,90.8582,91.7099,92.2942,
-95.3942,-103.471,-111.524,-119.565,-127.616,-135.689,
1.61153,1.65912,1.68364,1.68509,1.66347,1.61878,
88.8709,89.7836,90.586,91.2744,91.8451,92.2942,
-95.4914,-103.51,-111.54,-119.581,-127.631,-135.689,
1.69084,1.67733,1.66337,1.64896,1.6341,1.61878,
90.2973,89.2986,89.5244,90.4495,91.5474,92.2942,
-94.7028,-102.877,-111.114,-119.307,-127.479,-135.689,
1.3534,1.53436,1.65137,1.70445,1.69358,1.61878,
89.0101,88.171,92.2942,
-94.9884,-103.142,-135.689,
1.35732,1.56612,1.61878,
88.4654,89.8775,90.8368,91.4719,91.9138,92.2942,
-94.8804,-102.964,-111.114,-119.296,-127.491,-135.689,
1.77702,1.71317,1.66543,1.63378,1.61823,1.61878,
89.4668,88.5736,89.011,90.1765,91.47,92.2942,
-95.5132,-103.548,-111.629,-119.642,-127.636,-135.689,
1.3529,1.55488,1.68245,1.73562,1.7144,1.61878,
89.479,89.8131,90.3986,91.0984,91.7759,92.2942,
-94.8124,-103.001,-111.176,-119.342,-127.51,-135.689,
1.59064,1.62972,1.65208,1.6577,1.6466,1.61878,
89.6766,89.0778,89.4992,90.4809,91.5648,92.2942,
-94.2966,-102.587,-110.893,-119.154,-127.403,-135.689,
1.41888,1.56929,1.66448,1.70446,1.68923,1.61878,
87.9806,89.0095,90.0324,90.9723,92.2942,
-94.505,-102.725,-110.946,-119.176,-135.689,
1.69257,1.69651,1.6911,1.67634,1.61878,
90.4757,89.0156,89.1394,90.1778,91.4535,92.2942,
-94.644,-102.778,-111.052,-119.268,-127.452,-135.689,
1.26961,1.50311,1.65477,1.72461,1.71261,1.61878,
90.3897,89.1966,89.3734,90.3383,91.5059,92.2942,
-93.9194,-102.231,-110.634,-118.988,-127.318,-135.689,
1.3232,1.52164,1.65042,1.70953,1.69899,1.61878,
88.5325,89.0826,90.2383,91.4811,92.2942,
-100.514,-109.343,-118.117,-126.879,-135.689,
1.57903,1.67719,1.71654,1.69706,1.61878,
90.0061,88.9732,89.2598,90.2916,91.4938,92.2942,
-93.4884,-101.908,-110.393,-118.824,-127.234,-135.689,
1.34821,1.53794,1.65987,1.71398,1.70028,1.61878,
90.6251,89.0978,89.1751,90.186,91.4508,92.2942,
-93.7346,-102.041,-110.498,-118.9,-127.27,-135.689,
1.26667,1.49784,1.64863,1.71905,1.7091,1.61878,
88.5528,88.7368,89.5221,90.5885,91.6185,92.2942,
-95.0512,-103.216,-111.346,-119.445,-127.549,-135.689,
1.54343,1.63673,1.69091,1.70598,1.68194,1.61878,
89.4083,88.0709,88.4671,89.8204,91.3533,92.2942,
-96.1551,-104.022,-112.006,-119.892,-127.747,-135.689,
1.26088,1.52765,1.69682,1.7684,1.74239,1.61878,
89.6015,88.2142,88.5505,89.8503,91.3506,92.2942,
-93.4353,-101.839,-110.363,-118.801,-127.207,-135.689,
1.27578,1.52364,1.68187,1.75047,1.72944,1.61878,
89.7152,89.406,89.853,90.7117,92.2942,
-93.7443,-102.152,-110.557,-118.931,-135.689,
1.4755,1.58579,1.65526,1.68391,1.61878,
89.5343,89.3578,89.6279,90.5276,91.5761,92.2942,
-99.8584,-103.125,-111.298,-119.428,-127.542,-135.689,
1.48646,1.54561,1.65224,1.69998,1.68882,1.61878,
89.7211,88.7419,89.1073,90.2192,91.4797,92.2942,
-95.1787,-103.269,-111.418,-119.505,-127.57,-135.689,
1.34322,1.54521,1.67376,1.72887,1.71054,1.61878,
