157.983,145.893,129.097,120.698,
-44.6653,-56.9694,-56.7432,-56.7454,
1.52568,0.00673611,-0.0140994,0.0195119,
157.983,141.844,134.847,127.787,120.698,
-44.6653,-58.6774,-57.5331,-56.8783,-56.7454,
1.52568,-0.19554,-0.127983,-0.0562994,0.0195119,
157.983,148.802,140.791,134.119,127.414,120.698,
-44.6653,-57.0321,-57.91,-57.1527,-56.7759,-56.7454,
1.52568,0.368884,-0.143201,-0.083697,-0.0294592,0.0195119,
157.983,142.456,135.233,127.966,120.698,
-44.6653,-57.5522,-56.773,-56.6221,-56.7454,
1.52568,-0.167124,-0.0559494,0.00626278,0.0195119,
157.983,145.565,137.279,128.99,120.698,
-44.6653,-57.2502,-56.9465,-56.736,-56.7454,
1.52568,-0.0371499,-0.0335672,-0.01468,0.0195119,
157.983,149.8,142.195,135.044,127.886,120.698,
-44.6653,-57.1201,-58.484,-57.6966,-56.9813,-56.7454,
1.52568,0.449836,-0.0957913,-0.114094,-0.0756601,0.0195119,
157.983,141.653,134.686,127.698,120.698,
-44.6653,-57.9377,-57.2509,-56.8201,-56.7454,
1.52568,-0.111871,-0.0822814,-0.0384871,0.0195119,
157.983,145.414,137.174,128.936,120.698,
-44.6653,-56.223,-56.3381,-56.5462,-56.7454,
1.52568,0.00418157,0.0216726,0.0267827,0.0195119,
157.983,136.491,128.595,120.698,
-44.6653,-56.337,-56.5675,-56.7454,
1.52568,0.032863,0.025693,0.0195119,
157.983,144.868,136.811,128.756,120.698,
-44.6653,-57.1083,-57.0073,-56.7836,-56.7454,
1.52568,0.00783297,-0.0265188,-0.0226258,0.0195119,
157.983,145.632,137.32,129.009,120.698,
-44.6653,-56.5142,-56.5468,-56.6178,-56.7454,
1.52568,0.00236298,0.00586165,0.011578,0.0195119,
157.983,145.04,136.931,128.814,120.698,
-44.6653,-56.5075,-56.8059,-56.7493,-56.7454,
1.52568,0.0753828,0.00652888,-0.0120947,0.0195119,
157.983,145.624,137.316,129.008,120.698,
-44.6653,-56.8733,-57.0011,-56.805,-56.7454,
1.52568,0.0533416,-0.0133438,-0.0246204,0.0195119,
157.983,144.986,136.9,128.801,120.698,
-44.6653,-57.5641,-57.0415,-56.7498,-56.7454,
1.52568,-0.0764817,-0.0514272,-0.0194294,0.0195119,
157.983,144.569,136.612,128.655,120.698,
-44.6653,-56.7252,-56.8151,-56.7308,-56.7454,
1.52568,0.0337035,-0.00537323,-0.0101038,0.0195119,
157.983,145.354,137.136,128.92,120.698,
-44.6653,-57.393,-57.1174,-56.806,-56.7454,
1.52568,-0.0197343,-0.0415167,-0.0284346,0.0195119,
157.983,145.206,137.034,128.87,120.698,
-44.6653,-57.3603,-57.395,-56.9487,-56.7454,
1.52568,0.0631868,-0.0399434,-0.0545017,0.0195119,
157.983,145.357,137.142,128.92,120.698,
-44.6653,-56.1405,-56.4967,-56.6348,-56.7454,
1.52568,0.0643274,0.0262001,0.0112617,0.0195119,
157.983,137.094,128.907,120.698,
-44.6653,-57.7101,-57.0101,-56.7454,
1.52568,-0.0866132,-0.0713738,0.0195119,
157.983,144.942,136.861,128.779,120.698,
-44.6653,-56.3309,-56.4579,-56.5951,-56.7454,
1.52568,0.015184,0.0162903,0.0177329,0.0195119,
157.983,143.572,135.965,128.337,120.698,
-44.6653,-57.9432,-57.2323,-56.8061,-56.7454,
1.52568,-0.108355,-0.0762563,-0.0336341,0.0195119,
157.983,149.209,141.357,134.495,127.605,120.698,
-44.6653,-57.0679,-58.0953,-57.3028,-56.8291,-56.7454,
1.52568,0.398408,-0.134799,-0.093499,-0.0420619,0.0195119,
157.983,142.228,135.062,127.885,120.698,
-44.6653,-57.7909,-57.2305,-56.825,-56.7454,
1.52568,-0.0809348,-0.0711939,-0.0377117,0.0195119,
157.983,143.932,136.18,128.457,120.698,
-44.6653,-58.5021,-57.9901,-57.1224,-56.7454,
1.52568,-0.00658617,-0.107114,-0.0984147,0.0195119,
157.983,141.473,134.594,127.649,120.698,
-44.6653,-57.8488,-56.8904,-56.6497,-56.7454,
1.52568,-0.208751,-0.0772974,-0.00120988,0.0195119,
157.983,146.443,137.865,120.698,
-44.6653,-56.3993,-56.6706,-56.7454,
1.52568,0.0573573,0.0114224,0.0195119,
157.983,142.311,135.125,127.929,120.698,
-44.6653,-58.6484,-57.7853,-57.0071,-56.7454,
1.52568,-0.105532,-0.123585,-0.0819034,0.0195119,
157.983,155.629,149.792,142.12,135.008,127.865,120.698,
-44.6653,-52.0828,-57.2157,-58.3943,-57.4882,-56.887,-56.7454,
1.52568,0.996872,0.441324,-0.140961,-0.108923,-0.0554317,0.0195119,
157.983,150.938,144.276,136.421,128.561,120.698,
-44.6653,-55.8087,-57.2576,-56.8983,-56.7138,-56.7454,
1.52568,0.481724,-0.0550883,-0.0354654,-0.0105986,0.0195119,
157.983,142.637,135.382,128.051,120.698,
-44.6653,-58.5359,-57.3556,-56.8033,-56.7454,
1.52568,-0.210578,-0.115097,-0.0384003,0.0195119,
157.983,145.1,136.972,128.835,120.698,
-44.6653,-56.3765,-56.7196,-56.7206,-56.7454,
1.52568,0.0782122,0.0136547,-0.0059121,0.0195119,
157.983,149.113,141.261,134.422,127.57,120.698,
-44.6653,-57.0137,-58.1725,-57.4705,-56.9048,-56.7454,
1.52568,0.399411,-0.0991398,-0.098883,-0.0593325,0.0195119,
157.983,145.799,137.433,129.066,120.698,
-44.6653,-56.6713,-56.8164,-56.7347,-56.7454,
1.52568,0.0436132,-0.00256495,-0.0105987,0.0195119,
157.983,136.462,128.588,120.698,
-44.6653,-57.4389,-56.8998,-56.7454,
1.52568,-0.0780868,-0.0512976,0.0195119,
157.983,145.577,137.284,128.991,120.698,
-44.6653,-56.6454,-56.622,-56.6409,-56.7454,
1.52568,-0.00364125,-0.00114579,0.00657193,0.0195119,
157.983,141.556,134.626,120.698,
-44.6653,-58.3333,-57.5117,-56.7454,
1.52568,-0.122778,-0.107802,0.0195119,
157.983,143.445,135.907,128.305,120.698,
-44.6653,-57.8641,-56.8766,-56.6369,-56.7454,
1.52568,-0.197283,-0.0720656,0.000199572,0.0195119,
157.983,142.518,135.246,127.972,120.698,
-44.6653,-56.8419,-56.6766,-56.653,-56.7454,
1.52568,-0.0336285,-0.0123988,0.00531469,0.0195119,
157.983,149.92,142.671,135.349,128.03,120.698,
-44.6653,-56.3606,-57.8211,-57.3979,-56.9045,-56.7454,
1.52568,0.439833,-0.0345391,-0.0717234,-0.0537064,0.0195119,
157.983,145.448,137.197,128.949,120.698,
-44.6653,-57.033,-56.9948,-56.7845,-56.7454,
1.52568,0.019684,-0.0219961,-0.0220534,0.0195119,
157.983,141.521,134.625,127.663,120.698,
-44.6653,-57.7682,-56.819,-56.6229,-56.7454,
1.52568,-0.212071,-0.0720005,0.00519387,0.0195119,
157.983,140.651,134.062,127.398,120.698,
-44.6653,-58.8538,-57.6237,-56.9064,-56.7454,
1.52568,-0.221308,-0.146869,-0.0665952,0.0195119,
157.983,142.938,135.542,120.698,
-44.6653,-57.5617,-56.9231,-56.7454,
1.52568,-0.119819,-0.0554244,0.0195119,
157.983,141.295,134.47,127.606,120.698,
-44.6653,-58.9223,-57.8112,-56.9916,-56.7454,
1.52568,-0.169134,-0.146875,-0.083993,0.0195119,
157.983,145.06,136.939,128.819,120.698,
-44.6653,-56.8242,-56.8572,-56.7398,-56.7454,
1.52568,0.0245797,-0.0108133,-0.0125025,0.0195119,
157.983,145.056,136.936,128.819,120.698,
