90.1859,89.4422,89.1822,89.3839,91.0764,
-242.394,-250.828,-259.291,-267.756,-284.601,
1.45331,1.51192,1.56781,1.62096,1.71909,
91.2363,89.9337,89.367,89.4377,91.0764,
-243.753,-251.86,-260.052,-268.263,-284.601,
1.36216,1.4587,1.54266,1.61405,1.71909,
91.7753,91.0764,
-243.363,-284.601,
1.31618,1.71909,
92.4073,90.3702,88.5508,89.1485,91.0764,
-245.101,-252.419,-259.777,-268.076,-284.601,
1.57095,1.17105,1.62928,1.65655,1.71909,
92.4073,90.5767,88.7911,89.1524,89.9496,91.0764,
-245.101,-252.153,-259.214,-267.708,-276.173,-284.601,
1.57095,1.19157,1.58349,1.64106,1.68626,1.71909,
91.5126,89.8731,89.2958,91.0764,
-243.466,-251.585,-268.127,-284.601,
1.30525,1.43399,1.62251,1.71909,
91.252,90.1055,91.0764,
-243.524,-251.694,-284.601,
1.39352,1.46842,1.71909,
91.7688,90.228,89.4916,89.459,90.0237,91.0764,
-242.22,-250.605,-259.1,-267.628,-276.138,-284.601,
1.33727,1.4388,1.52775,1.60411,1.66789,1.71909,
92.4073,90.0929,87.9279,88.6172,89.7937,91.0764,
-245.101,-252.665,-260.261,-268.416,-276.516,-284.601,
1.57095,1.13053,1.60958,1.69288,1.72938,1.71909,
92.4073,89.632,88.8221,89.0366,89.9102,91.0764,
-245.101,-252.538,-260.552,-268.609,-276.623,-284.601,
1.57095,1.39129,1.54132,1.64596,1.70522,1.71909,
92.4073,90.253,88.2317,88.8285,91.0764,
-245.101,-252.386,-259.698,-268.035,-284.601,
1.57095,1.14422,1.60671,1.67301,1.71909,
92.4073,90.2575,88.0143,88.4417,89.6872,91.0764,
-245.101,-252.409,-259.695,-268.055,-276.339,-284.601,
1.57095,1.13873,1.54583,1.68442,1.74218,1.71909,
91.9324,90.0853,89.2767,89.3113,89.9813,91.0764,
-243.071,-251.236,-259.57,-267.946,-276.296,-284.601,
1.27714,1.41535,1.52866,1.61705,1.68052,1.71909,
92.4073,90.5449,89.1037,89.0418,89.8665,91.0764,
-245.101,-251.398,-259.629,-267.992,-276.319,-284.601,
1.57095,1.29457,1.49039,1.62642,1.70265,1.71909,
90.7392,89.5913,89.1404,89.2986,89.9748,91.0764,
-241.359,-249.967,-258.641,-267.325,-275.985,-284.601,
1.39442,1.48028,1.55568,1.62061,1.67508,1.71909,
92.4073,90.2943,88.5532,88.6284,89.7358,91.0764,
-245.101,-252.707,-260.569,-268.636,-276.635,-284.601,
1.57095,1.20617,1.48299,1.66074,1.73944,1.71909,
90.6755,89.3651,88.9232,89.179,91.0764,
-243.088,-251.331,-259.667,-268.012,-284.601,
1.35377,1.469,1.56315,1.63621,1.71909,
90.8499,89.1952,88.669,88.9976,89.8952,91.0764,
-243.367,-251.507,-259.8,-268.106,-276.371,-284.601,
1.29023,1.44455,1.5646,1.65037,1.70187,1.71909,
92.4073,89.9143,89.7972,89.8332,90.2007,91.0764,
-245.101,-252.505,-260.544,-268.582,-276.612,-284.601,
1.57095,1.5541,1.56206,1.5922,1.64455,1.71909,
92.4073,90.2889,88.2355,88.7596,89.8036,91.0764,
-245.101,-251.826,-258.565,-267.284,-275.958,-284.601,
1.57095,1.11571,1.58985,1.66626,1.70934,1.71909,
