192.121,174.265,165.342,157.303,
-1.71264,-1.56058,-1.83801,-21.2827,
-0.00050714,0.00641374,0.0614861,1.54115,
192.121,183.123,174.126,165.173,157.303,
-1.71264,-1.59744,-1.66015,-2.49788,-21.2827,
-0.00050714,-0.014008,0.03904,0.158637,1.54115,
192.121,183.083,174.045,165.02,157.303,
-1.71264,-1.61957,-1.60922,-2.07084,-21.2827,
-0.00050714,-0.0129042,0.0177979,0.0915991,1.54115,
192.121,183.029,173.937,164.856,157.303,
-1.71264,-1.71056,-1.83478,-2.26703,-21.2827,
-0.00050714,0.00338293,0.027279,0.071181,1.54115,
184.173,176.361,168.359,161.1,158.061,157.846,157.303,
-0.55013,1.3982,1.86552,-1.31574,-8.48095,-14.8882,-21.2827,
-0.242374,-0.19891,0.129884,0.744009,1.64346,1.47142,1.54115,
192.121,183.778,175.436,167.093,160.236,157.303,
-1.71264,-1.6608,-1.58541,-1.594,-5.47385,-21.2827,
-0.00050714,-0.00977303,-0.00615141,0.0103577,0.947321,1.54115,
192.121,174.5,165.714,157.303,
-1.71264,-0.956626,-1.58916,-21.2827,
-0.00050714,-0.00599952,0.169562,1.54115,
192.121,183.293,174.468,165.644,157.303,
-1.71264,-1.78674,-1.98432,-2.25485,-21.2827,
-0.00050714,0.0163428,0.0274704,0.0328757,1.54115,
192.121,183.226,174.331,165.459,157.303,
-1.71264,-1.60479,-1.61393,-2.22493,-21.2827,
-0.00050714,-0.0146452,0.0257996,0.120827,1.54115,
192.121,174.826,166.178,157.303,
-1.71264,-2.00607,-2.12171,-21.2827,
-0.00050714,0.0211914,0.00223958,1.54115,
184.53,176.949,169.355,161.948,157.474,156.877,157.303,
-1.34284,-0.800656,-0.924832,-2.53884,-7.52138,-14.3744,-21.2827,
-0.0784462,-0.0459283,0.0970464,0.350478,1.24393,1.64082,1.54115,
192.121,182.818,173.513,164.285,157.303,
-1.71264,-1.47683,-1.42744,-2.53342,-21.2827,
-0.00050714,-0.0327505,0.0395611,0.216428,1.54115,
192.121,183.388,174.656,165.934,157.303,
-1.71264,-1.56506,-1.45262,-1.85723,-21.2827,
-0.00050714,-0.0240891,0.00754036,0.0943813,1.54115,
184.629,177.145,169.653,162.458,158.163,157.174,157.303,
-1.30064,-0.729059,-0.982391,-3.01375,-7.96309,-14.568,-21.2827,
-0.0874722,-0.0431016,0.132605,0.439646,1.20531,1.57248,1.54115,
192.121,183.268,174.416,165.579,157.303,
-1.71264,-1.42714,-1.12687,-1.63218,-21.2827,
-0.00050714,-0.0485225,-0.00384095,0.133538,1.54115,
192.121,183.494,174.868,166.243,157.303,
-1.71264,-1.66376,-1.64196,-1.82132,-21.2827,
-0.00050714,-0.00746082,0.00576944,0.0391837,1.54115,
192.121,183.195,174.272,165.358,157.303,
-1.71264,-1.7583,-1.96263,-2.4129,-21.2827,
-0.00050714,0.012372,0.0350488,0.0675233,1.54115,
192.121,183.412,174.704,165.996,157.303,
-1.71264,-1.4979,-1.20651,-1.35434,-21.2827,
-0.00050714,-0.0389241,-0.0181111,0.0619316,1.54115,
192.121,183.202,174.286,165.386,157.303,
-1.71264,-1.73898,-1.94753,-2.51867,-21.2827,
-0.00050714,0.00979144,0.0403594,0.0911968,1.54115,
192.121,182.865,173.611,164.387,157.303,
-1.71264,-1.69179,-1.87383,-2.61073,-21.2827,
-0.00050714,0.00235489,0.0433402,0.122449,1.54115,
192.121,183.733,175.353,166.962,157.303,
-1.71264,-1.4043,-0.930673,-0.955762,-21.2827,
-0.00050714,-0.0597928,-0.0399241,0.059099,1.54115,
184.195,176.392,168.413,161.196,158.153,157.878,157.303,
-0.585827,1.28454,1.67139,-1.5451,-8.6859,-14.9912,-21.2827,
-0.235061,-0.188665,0.138683,0.746981,1.63623,1.46085,1.54115,
192.121,174.287,165.403,157.303,
-1.71264,-1.37877,-2.08338,-21.2827,
-0.00050714,0.0187054,0.153495,1.54115,
192.121,183.52,174.92,166.326,157.303,
-1.71264,-1.52851,-1.33492,-1.65684,-21.2827,
-0.00050714,-0.0321305,-0.00270601,0.0877662,1.54115,
184.465,176.811,169.159,161.622,157.053,156.692,157.303,
-1.49161,-1.21449,-1.44842,-2.75302,-7.55721,-14.4057,-21.2827,
-0.0448741,-0.0151608,0.0886328,0.266507,1.25832,1.6832,1.54115,
192.121,183.006,173.892,164.777,157.303,
-1.71264,-1.84095,-2.024,-1.94515,-21.2827,
-0.00050714,0.022869,0.0115057,-0.0345969,1.54115,
184.511,176.926,169.31,162.31,157.774,157.303,
-1.07351,-0.157393,-0.451889,-3.35172,-11.6294,-21.2827,
-0.134531,-0.0733007,0.183183,0.634921,1.39925,1.54115,
192.121,174.19,165.28,157.303,
-1.71264,-0.658311,-1.59676,-21.2827,
-0.00050714,-0.00539616,0.243173,1.54115,
184.551,176.987,169.418,162.087,157.747,157.003,157.303,
