192.743,176.13,167.829,157.343,
-1.71296,-1.42153,-1.08096,-20.1973,
-0.00050714,-0.0336461,-0.0481313,1.53749,
192.743,184.277,175.811,167.346,157.343,
-1.71296,-1.73846,-1.74652,-1.6216,-20.1973,
-0.00050714,0.00425683,-0.00462699,-0.0271586,1.53749,
192.743,175.713,167.197,157.343,
-1.71296,-1.21905,-0.980028,-20.1973,
-0.00050714,-0.0380741,-0.0131954,1.53749,
192.743,176.18,167.908,157.343,
-1.71296,-1.33732,-0.885923,-20.1973,
-0.00050714,-0.0442152,-0.064659,1.53749,
192.743,184.52,176.302,168.086,157.343,
-1.71296,-1.55407,-1.19531,-0.800827,-20.1973,
-0.00050714,-0.0348014,-0.0491303,-0.0434939,1.53749,
192.743,175.425,166.765,157.343,
-1.71296,-1.84227,-1.92506,-20.1973,
-0.00050714,0.0110554,0.00697098,1.53749,
192.743,183.922,175.102,166.284,157.343,
-1.71296,-1.74073,-1.85898,-2.10665,-20.1973,
-0.00050714,0.00754065,0.0200073,0.0368928,1.53749,
192.743,184.037,175.331,166.624,157.343,
-1.71296,-1.75952,-1.85223,-1.90733,-20.1973,
-0.00050714,0.00960156,0.0100917,0.000963195,1.53749,
192.743,183.786,174.83,165.879,157.343,
-1.71296,-1.77389,-1.96835,-2.30018,-20.1973,
-0.00050714,0.0141841,0.0293095,0.0448688,1.53749,
192.743,176.001,167.634,157.343,
-1.71296,-1.2298,-0.876674,-20.1973,
-0.00050714,-0.0442211,-0.0368867,1.53749,
192.743,175.42,166.76,157.343,
-1.71296,-1.58745,-1.43204,-20.1973,
-0.00050714,-0.0142457,-0.0217057,1.53749,
192.743,175.739,167.231,157.343,
-1.71296,-1.01363,-0.937425,-20.1973,
-0.00050714,-0.0403479,0.0327726,1.53749,
192.743,184.438,176.136,167.834,157.343,
-1.71296,-1.60551,-1.36552,-1.10378,-20.1973,
-0.00050714,-0.0231411,-0.0324319,-0.0283798,1.53749,
192.743,184.205,175.668,167.129,157.343,
-1.71296,-1.58334,-1.36795,-1.31393,-20.1973,
-0.00050714,-0.0250267,-0.0206,0.0127729,1.53749,
192.743,184.291,175.84,167.389,157.343,
-1.71296,-1.62415,-1.43867,-1.26505,-20.1973,
-0.00050714,-0.0183655,-0.0233828,-0.0155589,1.53749,
192.743,184.49,176.238,167.994,157.343,
-1.71296,-1.70249,-1.58268,-1.20845,-20.1973,
-0.00050714,-0.00496087,-0.0270083,-0.0666495,1.53749,
192.743,184.371,176.005,167.631,157.343,
-1.71296,-1.46485,-1.05266,-0.961594,-20.1973,
-0.00050714,-0.0490874,-0.0397109,0.0276224,1.53749,
192.743,184.286,175.83,167.372,157.343,
