188.669,180.946,173.133,165.424,158.005,
-0.913147,0.558053,1.32524,0.0110994,-12.3842,
-0.174654,-0.172448,0.00611144,0.361025,1.3638,
196.48,180.214,172.077,163.999,158.005,
-1.71485,-1.09409,-1.11208,-2.04661,-12.3842,
-0.000507123,-0.0327553,0.0479356,0.19317,1.3638,
196.48,180.646,172.729,164.831,158.005,
-1.71485,-1.5285,-1.63648,-2.17574,-12.3842,
-0.000507123,-0.00422998,0.0362068,0.104842,1.3638,
196.48,188.303,180.127,171.957,163.82,158.005,
-1.71485,-1.6771,-1.70987,-2.01967,-2.81191,-12.3842,
-0.000507123,-0.00451604,0.0167434,0.0632713,0.135067,1.3638,
196.48,180.975,173.218,165.477,158.005,
-1.71485,-1.15767,-1.02683,-1.49174,-12.3842,
-0.000507123,-0.039256,0.0135409,0.114452,1.3638,
196.48,188.481,180.482,172.485,164.505,158.005,
-1.71485,-1.64478,-1.57548,-1.70615,-2.23553,-12.3842,
-0.000507123,-0.0128623,-0.000313807,0.0371384,0.0994943,1.3638,
196.48,188.529,180.578,172.628,164.694,158.005,
-1.71485,-1.6388,-1.55176,-1.65325,-2.14247,-12.3842,
-0.000507123,-0.014439,-0.00327376,0.0329886,0.0943482,1.3638,
188.724,181.06,173.308,165.627,160.204,158.005,
-0.916836,0.567508,1.40176,0.242588,-4.99417,-12.3842,
-0.175736,-0.178069,-0.00750837,0.335948,1.11177,1.3638,
196.48,188.872,181.279,173.675,166.068,158.005,
-1.71485,-1.4136,-0.831046,-0.436378,-0.699469,-12.3842,
-0.000507123,-0.0683597,-0.0744991,-0.0189254,0.0983615,1.3638,
196.48,188.539,180.601,172.659,164.737,158.005,
-1.71485,-1.54404,-1.26568,-1.21867,-1.7415,-12.3842,
-0.000507123,-0.0353937,-0.0275997,0.022875,0.11603,1.3638,
188.744,181.087,173.351,165.694,160.259,158.005,
-0.963082,0.425033,1.1738,0.00310549,-5.10517,-12.3842,
-0.165668,-0.165475,7.34935e-05,0.330976,1.09462,1.3638,
188.975,181.489,173.996,166.487,160.284,158.005,
-1.40355,-0.765689,-0.232517,-0.235983,-4.7377,-12.3842,
-0.0728191,-0.0876078,-0.0448731,0.055385,1.07599,1.3638,
196.48,188.68,180.9,173.096,165.34,158.005,
-1.71485,-1.30923,-0.589087,-0.285913,-1.13035,-12.3842,
-0.000507123,-0.0877642,-0.0812009,0.0191826,0.213386,1.3638,
196.48,188.447,180.424,172.389,164.393,158.005,
-1.71485,-1.4174,-0.908673,-0.751371,-1.50712,-12.3842,
-0.000507123,-0.0618458,-0.0531249,0.0256558,0.174496,1.3638,
188.732,181.033,173.285,165.587,160.155,158.005,
-1.12926,-0.0495236,0.526851,-0.399587,-5.23358,-12.3842,
-0.128878,-0.128284,0.00127548,0.259799,1.09801,1.3638,
196.48,188.714,180.958,173.192,165.437,158.005,
-1.71485,-1.44614,-0.951549,-0.685966,-1.10449,-12.3842,
-0.000507123,-0.0589025,-0.0587012,9.68931e-05,0.117492,1.3638,
196.48,188.671,180.866,173.056,165.264,158.005,
-1.71485,-1.53712,-1.24128,-1.17139,-1.67115,-12.3842,
-0.000507123,-0.0376648,-0.03076,0.0202072,0.115237,1.3638,
196.48,188.733,180.999,173.251,165.529,158.005,
-1.71485,-1.39968,-0.837196,-0.589281,-1.21758,-12.3842,
-0.000507123,-0.0687251,-0.0643856,0.0125112,0.161965,1.3638,
196.48,188.539,180.62,172.672,164.812,158.005,
-1.71485,-1.25959,-0.474405,-0.216036,-1.33784,-12.3842,
-0.000507123,-0.096038,-0.0836517,0.0366516,0.264872,1.3638,
196.48,188.482,180.486,172.488,164.528,158.005,
-1.71485,-1.5644,-1.35897,-1.45523,-2.20852,-12.3842,
-0.000507123,-0.0296801,-0.0142569,0.0457626,0.150378,1.3638,
196.48,188.326,180.174,172.019,163.911,158.005,
-1.71485,-1.53309,-1.27417,-1.35514,-2.1913,-12.3842,
-0.000507123,-0.0355435,-0.0194344,0.04782,0.16622,1.3638,
196.48,188.505,180.54,172.561,164.657,158.005,
-1.71485,-1.39981,-0.891926,-0.834479,-1.8673,-12.3842,
-0.000507123,-0.065022,-0.0488784,0.0479235,0.225384,1.3638,
196.48,180.538,172.567,164.627,158.005,
-1.71485,-1.43369,-1.54839,-2.24119,-12.3842,
-0.000507123,-0.00911099,0.0443025,0.136193,1.3638,
196.48,188.655,180.833,173.007,165.198,158.005,
-1.71485,-1.54026,-1.24935,-1.17937,-1.66725,-12.3842,
-0.000507123,-0.0369259,-0.0302425,0.0195431,0.112431,1.3638,
196.48,188.62,180.78,172.916,165.117,158.005,
-1.71485,-1.3019,-0.583568,-0.327013,-1.29739,-12.3842,
-0.000507123,-0.0882054,-0.0782629,0.0293206,0.234545,1.3638,
196.48,188.465,180.45,172.437,164.455,158.005,
-1.71485,-1.61631,-1.5109,-1.67172,-2.37086,-12.3842,
-0.000507123,-0.0184018,-0.00222122,0.0480347,0.132366,1.3638,
196.48,188.632,180.807,172.956,165.149,158.005,
-1.71485,-1.28275,-0.504616,-0.143542,-0.96238,-12.3842,
-0.000507123,-0.0932798,-0.0887573,0.0130602,0.212173,1.3638,
196.48,188.61,180.74,172.87,165.001,158.005,
-1.71485,-1.72264,-1.73073,-1.7042,-1.60815,-12.3842,
-0.000507123,0.00174812,-0.000432371,-0.00704859,-0.0181005,1.3638,
188.638,180.871,173.022,165.293,160.14,158.005,
-0.954783,0.424349,1.09534,-0.269523,-5.32824,-12.3842,
-0.164449,-0.15878,0.0165018,0.361395,1.10819,1.3638,
196.48,188.593,180.714,172.824,164.979,158.005,
-1.71485,-1.44269,-0.991149,-0.895235,-1.68849,-12.3842,
-0.000507123,-0.0571767,-0.046007,0.033002,0.17985,1.3638,
196.48,188.806,181.162,173.489,165.843,158.005,
-1.71485,-1.2589,-0.415483,0.043426,-0.655221,-12.3842,
-0.000507123,-0.101404,-0.101597,-0.00108421,0.200133,1.3638,
