196.97,181.739,174.129,166.518,158.305,
-1.7151,-1.27805,-0.894747,-0.541181,-11.1868,
-0.000507122,-0.0476976,-0.0506657,-0.0398824,1.34075,
189.119,181.354,173.569,165.7,159.981,158.305,
-1.07018,0.288335,1.51991,1.78018,-3.29015,-11.1868,
-0.145501,-0.182964,-0.112897,0.0647,1.21239,1.34075,
196.97,188.938,180.906,172.875,164.845,158.305,
-1.7151,-1.72934,-1.78574,-1.8926,-2.0582,-11.1868,
-0.000507122,0.00422554,0.00999108,0.0167895,0.0246208,1.34075,
189.098,181.292,173.438,165.572,160.301,158.305,
-1.0705,0.180233,1.03415,0.481932,-4.18332,-11.1868,
-0.141593,-0.154889,-0.0403959,0.201887,1.12688,1.34075,
189.001,181.149,173.162,165.414,159.874,158.305,
-0.744335,0.994799,1.77853,-0.111495,-5.73825,-11.1868,
-0.205747,-0.194046,0.0345935,0.480173,1.14269,1.34075,
196.97,189.07,181.174,173.275,165.377,158.305,
-1.7151,-1.57676,-1.31519,-1.14849,-1.2948,-11.1868,
-0.000507122,-0.0299135,-0.0317085,-0.00589202,0.0475359,1.34075,
188.981,165.015,158.305,
-1.77075,-1.83276,-11.1868,
0.0122965,-0.0263976,1.34075,
189.232,181.525,173.807,166.061,160.381,158.305,
-1.31463,-0.48625,0.2251,0.273205,-4.03681,-11.1868,
-0.0911475,-0.11125,-0.0608162,0.0601553,1.10177,1.34075,
196.97,188.876,180.785,172.69,164.617,158.305,
-1.7151,-1.53154,-1.232,-1.18074,-1.74151,-11.1868,
-0.000507122,-0.0373417,-0.0291704,0.024007,0.12219,1.34075,
189.106,165.592,160.385,158.305,
-1.14049,-0.0152041,-4.4495,-11.1868,
-0.125684,0.207591,1.09491,1.34075,
196.97,189.053,181.137,173.222,165.311,158.305,
-1.7151,-1.7109,-1.66817,-1.52966,-1.23817,-11.1868,
-0.000507122,-0.00175847,-0.0102422,-0.0259583,-0.0489067,1.34075,
196.97,180.927,172.906,164.884,158.305,
-1.7151,-1.74041,-1.78069,-1.84163,-11.1868,
-0.000507122,0.00380317,0.0062744,0.00895635,1.34075,
189.12,181.309,173.466,165.627,158.305,
-1.20902,-0.242258,0.374371,-0.172707,-11.1868,
-0.111005,-0.118045,-0.0216271,0.178248,1.34075,
196.97,189.064,181.16,173.254,165.348,158.305,
-1.7151,-1.60229,-1.38218,-1.22017,-1.28169,-11.1868,
-0.000507122,-0.0245414,-0.0276529,-0.00984182,0.0288919,1.34075,
196.97,188.991,181.013,173.035,165.057,158.305,
-1.7151,-1.66253,-1.57031,-1.52453,-1.61126,-11.1868,
-0.000507122,-0.0108721,-0.0104469,0.000768284,0.0227736,1.34075,
196.97,181.35,173.541,165.731,158.305,
-1.7151,-1.51947,-1.35551,-1.2138,-11.1868,
-0.000507122,-0.0202932,-0.0206308,-0.014598,1.34075,
196.97,188.937,180.905,172.873,164.841,158.305,
-1.7151,-1.75485,-1.8564,-1.98097,-2.08979,-11.1868,
-0.000507122,0.0096001,0.0148799,0.0153324,0.0109575,1.34075,
196.97,188.969,180.971,172.97,164.972,158.305,
