244.027,225.387,
-2.01723,-0.721866,
-0.0687182,-0.0486445,
243.854,225.387,
-1.89274,-0.721866,
-0.0757777,-0.0486445,
244.993,235.202,225.387,
-2.26455,-1.33279,-0.721866,
-0.114099,-0.0770984,-0.0486445,
244.751,225.387,
-1.73188,-0.721866,
-0.0367445,-0.0486445,
244.439,232.865,225.387,
-1.73917,-1.24905,-0.721866,
-0.00050714,-0.0850072,-0.0486445,
244.439,235.14,225.387,
-1.73917,-1.37897,-0.721866,
-0.00050714,-0.0695968,-0.0486445,
244.922,235.154,225.387,
-1.8743,-1.30471,-0.721866,
-0.0459293,-0.0647444,-0.0486445,
244.761,235.072,225.387,
-1.52061,-1.17201,-0.721866,
-0.0276821,-0.0427224,-0.0486445,
244.009,234.702,225.387,
-1.76546,-1.17056,-0.721866,
-0.0800523,-0.0518,-0.0486445,
244.992,225.387,
-1.79372,-0.721866,
-0.0263589,-0.0486445,
245.201,235.291,225.387,
-1.50978,-1.20042,-0.721866,
-0.0144949,-0.0438305,-0.0486445,
244.439,232.828,225.387,
-1.73917,-1.16563,-0.721866,
-0.00050714,-0.0683702,-0.0486445,
245.115,235.247,225.387,
-1.75098,-1.32215,-0.721866,
-0.0138906,-0.0625405,-0.0486445,
244.887,235.144,225.387,
-1.81741,-1.14821,-0.721866,
-0.0984711,-0.0474042,-0.0486445,
244.877,235.132,225.387,
-1.892,-1.31251,-0.721866,
-0.0463546,-0.0661975,-0.0486445,
244.061,225.387,
-1.84287,-0.721866,
-0.0557411,-0.0486445,
243.922,234.651,225.387,
-1.77666,-1.31655,-0.721866,
-0.0196122,-0.0682038,-0.0486445,
244.769,225.387,
-1.60711,-0.721866,
-0.0162691,-0.0486445,
244.439,237.797,231.167,225.387,
-1.73917,-1.54812,-1.09209,-0.721866,
-0.00050714,-0.0528616,-0.080351,-0.0486445,
244.859,235.123,225.387,
-1.83749,-1.28307,-0.721866,
-0.0472517,-0.0618731,-0.0486445,
245.072,225.387,
-1.90286,-0.721866,
-0.0981288,-0.0486445,
244.914,235.159,225.387,
-2.09506,-1.28368,-0.721866,
-0.0997687,-0.0682075,-0.0486445,
243.889,234.636,225.387,
-1.8259,-1.30326,-0.721866,
-0.0359446,-0.0682531,-0.0486445,
244.203,225.387,
-1.69858,-0.721866,
-0.0615662,-0.0486445,
244.439,238.462,232.496,225.387,
-1.73917,-1.5579,-1.15946,-0.721866,
-0.00050714,-0.0543168,-0.0732213,-0.0486445,
244.439,238.568,232.708,225.387,
-1.73917,-1.599,-1.2192,-0.721866,
-0.00050714,-0.0457671,-0.082199,-0.0486445,
244.439,233.395,225.387,
-1.73917,-1.25265,-0.721866,
-0.00050714,-0.078347,-0.0486445,
245.194,235.287,225.387,
-1.61935,-1.25992,-0.721866,
-0.0125794,-0.0526137,-0.0486445,
244.896,235.143,225.387,
-1.84384,-1.25538,-0.721866,
-0.0599068,-0.059032,-0.0486445,
245.029,235.207,225.387,
-1.65503,-1.20458,-0.721866,
-0.0420762,-0.0485285,-0.0486445,
244.789,225.387,
-1.81008,-0.721866,
-0.0393378,-0.0486445,
243.773,234.584,225.387,
-1.89832,-1.25521,-0.721866,
-0.0725218,-0.065554,-0.0486445,
245.125,225.387,
-2.2495,-0.721866,
-0.0927472,-0.0486445,
245.017,235.201,225.387,
-1.95477,-1.34565,-0.721866,
-0.0456568,-0.0705122,-0.0486445,
243.96,234.672,225.387,
-1.83988,-1.31645,-0.721866,
-0.0333247,-0.0696896,-0.0486445,
244.644,235.02,225.387,
-1.75517,-1.15664,-0.721866,
-0.0826636,-0.0475841,-0.0486445,
244.693,235.042,225.387,
-1.57423,-1.09012,-0.721866,
-0.0726538,-0.035859,-0.0486445,
244.948,235.169,225.387,
-1.78519,-1.22285,-0.721866,
-0.0611897,-0.0539978,-0.0486445,
243.587,234.494,225.387,
-2.22374,-1.38055,-0.721866,
-0.0891794,-0.0890401,-0.0486445,
244.647,225.387,
-1.73862,-0.721866,
-0.0422949,-0.0486445,
244.439,232.53,225.387,
-1.73917,-1.22342,-0.721866,
-0.00050714,-0.0854031,-0.0486445,
244.439,232.684,225.387,
-1.73917,-1.19248,-0.721866,
-0.00050714,-0.0735859,-0.0486445,
244.727,235.058,225.387,
-1.73481,-1.20861,-0.721866,
-0.0568068,-0.0521267,-0.0486445,
244.439,233.57,225.387,
-1.73917,-1.28721,-0.721866,
-0.00050714,-0.0805683,-0.0486445,
245.114,235.26,225.387,
-1.9533,-1.18953,-0.721866,
-0.108694,-0.0541779,-0.0486445,
245.303,225.387,
-1.75066,-0.721866,
-0.0791379,-0.0486445,
245.002,225.387,
-1.87363,-0.721866,
-0.050771,-0.0486445,
245.181,235.287,225.387,
-1.94606,-1.28266,-0.721866,
-0.0693797,-0.0631431,-0.0486445,
243.98,234.686,225.387,
-1.51905,-1.06026,-0.721866,
-0.0745505,-0.0334748,-0.0486445,
244.701,225.387,
-1.58522,-0.721866,
-0.0260534,-0.0486445,
244.439,232.44,225.387,
