244.439,238.21,231.991,226.438,
-1.73917,-1.59283,-1.19628,-0.793989,
-0.00050714,-0.0450264,-0.0808982,-0.0661842,
245.145,226.438,
-1.89384,-0.793989,
-0.0443628,-0.0661842,
245.073,235.752,226.438,
-1.6931,-1.32123,-0.793989,
-0.0328336,-0.0475611,-0.0661842,
244.882,226.438,
-2.01633,-0.793989,
-0.0769086,-0.0661842,
244.966,226.438,
-1.88357,-0.793989,
-0.0521854,-0.0661842,
243.951,235.19,226.438,
-1.43116,-1.21923,-0.793989,
-0.0174639,-0.0336381,-0.0661842,
244.439,238.769,233.108,226.438,
-1.73917,-1.60492,-1.26595,-0.793989,
-0.00050714,-0.0442906,-0.0727675,-0.0661842,
244.923,235.682,226.438,
-2.17006,-1.46736,-0.793989,
-0.0725322,-0.0767747,-0.0661842,
244.439,239.345,234.259,226.438,
-1.73917,-1.61491,-1.32195,-0.793989,
-0.00050714,-0.0446181,-0.0667809,-0.0661842,
244.439,233.772,226.438,
-1.73917,-1.31413,-0.793989,
-0.00050714,-0.0691452,-0.0661842,
244.663,226.438,
-1.7139,-0.793989,
-0.0586376,-0.0661842,
245.177,235.807,226.438,
-1.94621,-1.37763,-0.793989,
-0.0629695,-0.0598261,-0.0661842,
244.653,226.438,
-1.95243,-0.793989,
-0.0464418,-0.0661842,
245.082,235.757,226.438,
-1.69047,-1.30804,-0.793989,
-0.037946,-0.0460365,-0.0661842,
245.166,235.807,226.438,
-2.11016,-1.3835,-0.793989,
-0.0954806,-0.0648262,-0.0661842,
244.439,239.241,234.05,226.438,
-1.73917,-1.63256,-1.34382,-0.793989,
-0.00050714,-0.0392716,-0.0706207,-0.0661842,
244.439,233.376,226.438,
-1.73917,-1.28995,-0.793989,
-0.00050714,-0.0713716,-0.0661842,
244.439,235.939,226.438,
-1.73917,-1.4227,-0.793989,
-0.00050714,-0.063025,-0.0661842,
244.439,236.125,226.438,
-1.73917,-1.44898,-0.793989,
-0.00050714,-0.0702064,-0.0661842,
245.321,226.438,
-1.53887,-0.793989,
-0.00889352,-0.0661842,
244.439,231.467,226.438,
-1.73917,-1.14187,-0.793989,
-0.00050714,-0.0720882,-0.0661842,
245.221,226.438,
-2.33723,-0.793989,
-0.105407,-0.0661842,
244.439,233.413,226.438,
-1.73917,-1.27537,-0.793989,
-0.00050714,-0.0681791,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
244.047,235.24,226.438,
-1.58512,-1.24087,-0.793989,
-0.0428655,-0.0400837,-0.0661842,
244.745,226.438,
-1.66303,-0.793989,
-0.0139053,-0.0661842,
245.046,226.438,
-1.44602,-0.793989,
-0.0219,-0.0661842,
244.439,232.854,226.438,
-1.73917,-1.29299,-0.793989,
-0.00050714,-0.0868186,-0.0661842,
243.981,235.218,226.438,
-2.46819,-1.53219,-0.793989,
-0.111274,-0.0983547,-0.0661842,
244.227,226.438,
-1.64745,-0.793989,
-0.0383213,-0.0661842,
244.439,233.627,226.438,
-1.73917,-1.29285,-0.793989,
-0.00050714,-0.0721007,-0.0661842,
244.439,234.338,226.438,
-1.73917,-1.36484,-0.793989,
-0.00050714,-0.0747518,-0.0661842,
244.943,226.438,
-1.89564,-0.793989,
-0.039583,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
245.379,235.907,226.438,
-2.02798,-1.42609,-0.793989,
-0.0598035,-0.0660867,-0.0661842,
245.065,235.754,226.438,
-2.28105,-1.50577,-0.793989,
-0.0798165,-0.082993,-0.0661842,
245.213,226.438,
-1.55646,-0.793989,
0.000336898,-0.0661842,
244.439,233.538,226.438,
-1.73917,-1.30583,-0.793989,
-0.00050714,-0.0744632,-0.0661842,
244.027,235.231,226.438,
-1.74336,-1.30372,-0.793989,
-0.0502421,-0.051775,-0.0661842,
245.073,235.751,226.438,
-1.21856,-1.18266,-0.793989,
0.00952916,-0.0200055,-0.0661842,
244.812,235.624,226.438,
-1.77973,-1.30454,-0.793989,
-0.0584862,-0.0492255,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
244.969,235.707,226.438,
-2.03791,-1.36243,-0.793989,
-0.0892927,-0.0616653,-0.0661842,
245.125,226.438,
-1.73701,-0.793989,
-0.0472262,-0.0661842,
244.439,238.18,231.931,226.438,
-1.73917,-1.5732,-1.17349,-0.793989,
-0.00050714,-0.0488553,-0.0752445,-0.0661842,
243.986,235.208,226.438,
-1.82746,-1.3688,-0.793989,
-0.0397112,-0.0617644,-0.0661842,
245.141,235.787,226.438,
-1.72731,-1.31008,-0.793989,
-0.0450405,-0.0469825,-0.0661842,
244.032,235.231,226.438,
-1.57157,-1.27476,-0.793989,
-0.0243624,-0.0436127,-0.0661842,
245.314,235.871,226.438,
-1.62501,-1.30736,-0.793989,
-0.0247121,-0.043272,-0.0661842,
244.855,226.438,
-2.14343,-0.793989,
-0.0732919,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
245.01,235.721,226.438,
-2.14852,-1.51425,-0.793989,
-0.0476702,-0.080741,-0.0661842,
244.054,235.25,226.438,
-1.86373,-1.25927,-0.793989,
-0.097794,-0.0499822,-0.0661842,
244.439,238.293,232.157,226.438,
-1.73917,-1.60153,-1.2197,-0.793989,
-0.00050714,-0.0432728,-0.0800224,-0.0661842,
244.439,238.672,232.913,226.438,
-1.73917,-1.61937,-1.27566,-0.793989,
-0.00050714,-0.0406132,-0.0782048,-0.0661842,
244.439,235.713,226.438,
-1.73917,-1.45326,-0.793989,
-0.00050714,-0.0638874,-0.0661842,
244.856,235.642,226.438,
-1.27809,-1.2102,-0.793989,
0.00945354,-0.0252341,-0.0661842,
243.849,235.146,226.438,
-2.12368,-1.42079,-0.793989,
-0.0836631,-0.0768715,-0.0661842,
244.439,232.727,226.438,
-1.73917,-1.26026,-0.793989,
-0.00050714,-0.0852637,-0.0661842,
244.439,234.502,226.438,
-1.73917,-1.33691,-0.793989,
-0.00050714,-0.0665042,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
244.439,235.431,226.438,
-1.73917,-1.41441,-0.793989,
-0.00050714,-0.0620128,-0.0661842,
245.314,235.872,226.438,
-1.50156,-1.26347,-0.793989,
-0.017153,-0.0353654,-0.0661842,
244.735,235.584,226.438,
-1.60827,-1.25266,-0.793989,
-0.0436522,-0.0392525,-0.0661842,
244.439,233.548,226.438,
-1.73917,-1.31237,-0.793989,
-0.00050714,-0.0779867,-0.0661842,
244.439,238.838,233.247,226.438,
-1.73917,-1.62478,-1.29252,-0.793989,
-0.00050714,-0.0401129,-0.0783601,-0.0661842,
244.987,235.714,226.438,
-2.06026,-1.39935,-0.793989,
-0.0781646,-0.0661522,-0.0661842,
245.296,235.865,226.438,
-1.80389,-1.32821,-0.793989,
-0.053767,-0.0502631,-0.0661842,
244.636,226.438,
-1.66527,-0.793989,
-0.0168431,-0.0661842,
244.876,226.438,
-2.16807,-0.793989,
-0.0869828,-0.0661842,
244.919,235.673,226.438,
