244.156,229.604,
-1.61423,-0.978223,
0.00890442,-0.0575342,
245.136,237.37,229.604,
-1.66913,-1.32995,-0.978223,
-0.0543012,-0.0387194,-0.0575342,
243.571,236.585,229.604,
-1.31011,-1.27701,-0.978223,
0.0185448,-0.0258875,-0.0575342,
244.855,237.235,229.604,
-2.09301,-1.45547,-0.978223,
-0.0995809,-0.0701707,-0.0575342,
244.883,229.604,
-1.93922,-0.978223,
-0.0921964,-0.0575342,
245.395,237.499,229.604,
-1.86317,-1.43101,-0.978223,
-0.0523089,-0.0565144,-0.0575342,
244.439,238.525,229.604,
-1.73917,-1.53567,-0.978223,
-0.00050714,-0.0696069,-0.0575342,
244.378,236.989,229.604,
-1.06635,-1.17003,-0.978223,
0.0224583,-0.000180032,-0.0575342,
243.947,236.775,229.604,
-1.95091,-1.47543,-0.978223,
-0.0514774,-0.0743144,-0.0575342,
244.439,234.917,229.604,
-1.73917,-1.29239,-0.978223,
-0.00050714,-0.0614952,-0.0575342,
244.221,229.604,
-2.34119,-0.978223,
-0.142531,-0.0575342,
243.484,236.542,229.604,
-1.82933,-1.43281,-0.978223,
-0.0408074,-0.0672763,-0.0575342,
244.18,229.604,
-1.90616,-0.978223,
-0.0651656,-0.0575342,
244.439,237.017,229.604,
-1.73917,-1.46448,-0.978223,
-0.00050714,-0.0623617,-0.0575342,
244.802,229.604,
-2.37326,-0.978223,
-0.108943,-0.0575342,
243.561,236.58,229.604,
-1.36612,-1.26146,-0.978223,
-0.00635484,-0.0257035,-0.0575342,
243.69,229.604,
-1.83295,-0.978223,
-0.100212,-0.0575342,
244.439,235.722,229.604,
-1.73917,-1.41362,-0.978223,
-0.00050714,-0.0787115,-0.0575342,
243.505,236.553,229.604,
-1.55249,-1.29404,-0.978223,
-0.0410275,-0.0372883,-0.0575342,
243.946,229.604,
-1.66783,-0.978223,
-0.0423061,-0.0575342,
244.974,237.288,229.604,
-1.66232,-1.33706,-0.978223,
-0.0487935,-0.0401341,-0.0575342,
244.035,236.82,229.604,
-1.87304,-1.42326,-0.978223,
-0.0588486,-0.0637933,-0.0575342,
244.001,229.604,
-1.9638,-0.978223,
-0.0670032,-0.0575342,
244.439,236.153,229.604,
-1.73917,-1.36939,-0.978223,
-0.00050714,-0.0681611,-0.0575342,
244.692,229.604,
-1.63438,-0.978223,
-0.0516006,-0.0575342,
244.823,229.604,
-2.0262,-0.978223,
-0.0729729,-0.0575342,
243.76,236.679,229.604,
-1.38129,-1.27479,-0.978223,
-0.00382999,-0.0273571,-0.0575342,
244.138,229.604,
-1.82126,-0.978223,
-0.0464757,-0.0575342,
244.813,237.209,229.604,
-1.83357,-1.39055,-0.978223,
-0.0656077,-0.053487,-0.0575342,
244.846,237.223,229.604,
-1.69022,-1.38573,-0.978223,
-0.0304981,-0.0480101,-0.0575342,
245.224,229.604,
-2.13258,-0.978223,
-0.0805357,-0.0575342,
245.065,237.333,229.604,
-1.89658,-1.46415,-0.978223,
-0.043694,-0.0636844,-0.0575342,
244.175,229.604,
-1.94152,-0.978223,
-0.034413,-0.0575342,
243.472,236.537,229.604,
-1.8294,-1.42914,-0.978223,
-0.0429241,-0.0668331,-0.0575342,
245.033,237.32,229.604,
-1.77295,-1.34761,-0.978223,
-0.0720399,-0.0448026,-0.0575342,
244.439,234.83,229.604,
-1.73917,-1.32496,-0.978223,
-0.00050714,-0.0686963,-0.0575342,
243.744,229.604,
-1.9213,-0.978223,
-0.0671225,-0.0575342,
244.605,229.604,
-1.91067,-0.978223,
-0.046524,-0.0575342,
243.534,236.568,229.604,
-1.45791,-1.2456,-0.978223,
-0.0417194,-0.0268191,-0.0575342,
243.774,229.604,
-1.71818,-0.978223,
-0.0332913,-0.0575342,
243.961,236.782,229.604,
-1.93293,-1.46747,-0.978223,
-0.0509113,-0.0724854,-0.0575342,
243.513,229.604,
-1.5766,-0.978223,
-0.0513172,-0.0575342,
244.439,235.21,229.604,
-1.73917,-1.34654,-0.978223,
-0.00050714,-0.0842695,-0.0575342,
243.603,229.604,
-1.35706,-0.978223,
0.0184235,-0.0575342,
244.439,235.956,229.604,
-1.73917,-1.36762,-0.978223,
-0.00050714,-0.0687002,-0.0575342,
245.241,229.604,
-2.1991,-0.978223,
-0.0693081,-0.0575342,
244.439,237.017,229.604,
-1.73917,-1.46448,-0.978223,
-0.00050714,-0.0623617,-0.0575342,
244.792,237.197,229.604,
-1.44127,-1.24239,-0.978223,
-0.0403369,-0.0212479,-0.0575342,
245.372,237.488,229.604,
-1.82159,-1.40153,-0.978223,
-0.0567104,-0.0515911,-0.0575342,
244.879,237.24,229.604,
-1.94218,-1.4824,-0.978223,
-0.0459121,-0.0686716,-0.0575342,
245.285,229.604,
-2.11385,-0.978223,
-0.0612925,-0.0575342,
244.159,229.604,
-1.83266,-0.978223,
-0.0875081,-0.0575342,
244.209,229.604,
-1.76794,-0.978223,
-0.0127599,-0.0575342,
244.439,237.017,229.604,
-1.73917,-1.46448,-0.978223,
-0.00050714,-0.0623617,-0.0575342,
244.952,229.604,
-1.86746,-0.978223,
-0.0543334,-0.0575342,
244.867,229.604,
-1.66715,-0.978223,
-0.0149495,-0.0575342,
245.055,237.326,229.604,
-1.51839,-1.36191,-0.978223,
0.00127561,-0.0383522,-0.0575342,
244.439,238.037,229.604,
-1.73917,-1.51525,-0.978223,
-0.00050714,-0.0675135,-0.0575342,
244.439,235.416,229.604,
-1.73917,-1.33974,-0.978223,
-0.00050714,-0.0698151,-0.0575342,
245.172,237.383,229.604,
-1.59636,-1.41042,-0.978223,
0.00572777,-0.0465743,-0.0575342,
244.294,229.604,
-1.50824,-0.978223,
-0.00261924,-0.0575342,
243.898,236.76,229.604,
-2.09718,-1.42407,-0.978223,
-0.121142,-0.0725152,-0.0575342,
243.769,236.684,229.604,
-1.36439,-1.25048,-0.978223,
-0.0128168,-0.0232966,-0.0575342,
245.258,237.43,229.604,
-1.69072,-1.34859,-0.978223,
-0.0503204,-0.0412603,-0.0575342,
243.705,236.661,229.604,
-2.01455,-1.40862,-0.978223,
-0.107334,-0.0688237,-0.0575342,
244.439,236.267,229.604,
-1.73917,-1.41259,-0.978223,
-0.00050714,-0.0681407,-0.0575342,
244.845,237.22,229.604,
-1.60007,-1.39871,-0.978223,
-3.10079e-05,-0.0467754,-0.0575342,
244.751,229.604,
-1.65285,-0.978223,
-0.0376717,-0.0575342,
245.121,229.604,
-1.93816,-0.978223,
-0.0625739,-0.0575342,
243.865,236.736,229.604,
-2.15377,-1.54933,-0.978223,
-0.066877,-0.0922639,-0.0575342,
244.905,237.253,229.604,
-1.5994,-1.32077,-0.978223,
-0.0408258,-0.0362709,-0.0575342,
243.892,236.747,229.604,
-1.89288,-1.44162,-0.978223,
-0.0541368,-0.0679767,-0.0575342,
244.936,237.276,229.604,
-2.25364,-1.53774,-0.978223,
-0.0983283,-0.0855254,-0.0575342,
245.12,229.604,
-2.14548,-0.978223,
-0.0757441,-0.0575342,
243.684,236.647,229.604,
